"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","mentalHealthProvider","ambulanceEmergencyPerCapita","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsForSale","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"36029",919355,428362,27711,88.7029549907039,21.7879983182879,0.685263037673151,0.021754382148354,2.84635091340322,28.1619638632701,10.1341170732959,5.2917966836011,7.80875261108389,0.0250175394706071,0.00413333260818726,11,84.2,19.8849104859335,104.34,100.32,72.13,105.46,19.672131147541,"Erie County, New York"
"36031",37459,26296,2828,89.4686299615877,11.4925094506931,0.553545120765321,0.0133466610452614,1.61357054199421,22.8200702339146,10.4116529449018,4.78774033885399,77.4795355035218,0.071160429841946,0.00442339448439351,14,111.66,69.5971867007673,99.82,101.65,94.59,81.47,75.4098360655738,"Essex County, New York"
"36033",50477,25754,5700,90.3195276939024,10.9808310682371,0.410786034802943,0.00990456200040505,1.32562702158121,21.9934235351194,11.6381803839074,2.95296037987832,67.8438937527823,0.071160429841946,0.00442339448439351,13,110.68,68.0946291560102,99.82,102.45,93.46,83.43,73.7704918032787,"Franklin County, New York"
"36035",53646,29112,1173,89.585258780037,14.3111857713334,0.428736532080677,0,0.910981697171381,26.8787210125317,12.9095181096777,6.42257818459191,56.7200610221205,0.010252395332364,0,14,103.98,51.3107416879795,109.13,103.52,84.86,87.23,45.9016393442623,"Fulton County, New York"
"36037",57808,25797,771,90.2616872172447,12.0811510953427,0.518959313589815,0.0691945751453086,0.858042417742103,22.119783723832,8.68302537985605,12.7576054955839,12.1687929342493,0.0674647107666759,0.000864932189316358,15,106.12,57.2890025575448,103.11,95.47,98.93,84.88,54.0983606557377,"Genesee County, New York"
"36039",47424,29678,3293,93.7166202583649,12.0528313008879,0.437231078752281,0.0105421848872817,1.68008400420021,19.892011908967,7.31578947368421,3.19605660677373,76.4032437589442,0.071160429841946,0.00442339448439351,15,122.51,90.5690537084399,99.82,102.31,100.31,67.95,91.8032786885246,"Greene County, New York"
"36041",4515,8948,133,89.7845726198749,3.87922797630422,4.59252418133957,0.110731467573521,2.60328239954726,19.1343963553531,5.01296456352636,0.744448722885381,96.6756513926325,0.0385621794383422,0.00178811564526256,18,138.74,99.0089514066496,105.03,78.91,119.77,63.26,100,"Hamilton County, New York"
"36043",62057,33831,1183,91.2055795416805,13.355782998356,0.177256393315823,0.0483426527224971,1.26952428500107,22.7884340108789,9.4193443157723,6.51122810787579,58.1282905340067,0.0091313899586939,0,15,113.73,73.881074168798,109.24,98.81,93.86,77.57,80.327868852459,"Herkimer County, New York"
"36045",112842,59969,6322,81.716674958858,16.2855130624286,0.443097428262526,0.0708955885220042,1.83032449285962,40.9844925788883,10.712781391866,3.93385552654482,66.0748476936467,0.0175023484163698,0,8,75.22,11.73273657289,108.46,95.5,83.93,130.85,11.4754098360656,"Jefferson County, New York"
"36047",2589974,1044493,41243,91.104131649986,49.6176766213593,0.351342563604824,0.00730840210309888,20.4426784424864,66.5972612120861,12.0938859777147,5.77473640108931,11.292274748039,0.071160429841946,0.0177791482698595,11,26.71,0.319693094629159,88.77,102.92,-25.06,131.3,3.27868852459017,"Kings County, New York"
"36049",26572,15679,343,92.9400871879943,6.67988558054869,0.225801595664609,0,1.35273098519653,16.5468856947296,8.63667414853128,4.10530191458026,79.2157584683358,0.00752671985548698,0,15,128.96,96.0677749360614,109.39,104.11,108.71,66.4,96.7213114754098,"Lewis County, New York"
"36051",63591,27506,6253,88.5449460928294,12.2881898501857,0.361686402163828,0,2.05811560330694,19.7934285817109,9.41015883520847,3.48348348348348,42.5225225225225,0.0141529461716281,0,14,109.69,65.9526854219949,108.77,103.71,94.32,85.4,65.5737704918033,"Livingston County, New York"
"36053",71205,32278,5174,91.5882281034167,10.2649671300246,0.561758303489924,0.0842637455234885,0.695673033674173,18.2305797237035,7.66704022877459,8.12373066708327,43.8525230432745,0.00280879151744962,0,14,117.09,80.9143222506394,109.82,93.65,105.17,78.05,86.8852459016393,"Madison County, New York"
"36055",743341,327880,27035,86.3371641887907,16.6135381095766,0.404928559032799,0.0255602744904425,4.53881451662364,29.3044084948042,11.5758342496059,6.173839271942,7.55822921486966,0.0170850255804537,0.00369951341309036,10,81.17,16.8158567774936,105.44,100.71,75.56,114.05,14.7540983606557,"Monroe County, New York"
"36057",49302,23496,1065,88.2936757732175,20.9837523624986,0.628777737211472,0.141982069692913,3.99830460582085,26.1791227987347,12.1820956256358,3.93639207507821,9.09801876955162,0.00608494584398199,0,13,90.72,28.6125319693095,109.52,86.96,66.67,98.44,29.5081967213115,"Montgomery County, New York"
"36059",1356509,472572,19617,93.6614775556152,12.6030649053793,1.33651896154025,0.00516030487081177,11.8740213881267,16.7573266555238,7.19455363475078,16.3860128931432,15.5147489744091,0.00140065417922034,0.00022115592303479,16,109.33,65.0575447570332,109.77,100.29,77.78,70.48,60.655737704918,"Nassau County, New York"
"36061",1631993,880085,60730,86.0966748007661,54.9635989525957,1.59069309733559,0.004901981809971,11.2271202029777,76.675732394334,6.91517657282806,4.34818652849741,38.9529533678757,0,0,9,20.69,0.127877237851663,110.08,99.57,-4.38999999999999,151.6,1.63934426229508,"New York County, New York"
