"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","mentalHealthProvider","ambulanceEmergencyPerCapita","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"18021",26431,11648,460,90.3428971308607,3.62140181230188,0.591057049854377,18.0228071679671,10.0369983872498,13.0984643179765,0,0,12,37.8343611668117,0,109.86,66.2125340599455,108.18,101.86,112.85,93.54,77.4647887323944,"Clay County, Indiana"
"18023",32967,13496,582,90.2491704751769,5.419554637959,9.16949478132804,24.5177827619353,8.89803162310423,10.0909090909091,0.0566222788445012,0.00101111212222323,12,60.666727333394,0,96.58,36.9209809264305,103.8,92.53,92.06,99.65,39.4366197183099,"Clinton County, Indiana"
"18025",10494,5890,111,92.8103936700205,2.19554312967684,0.380318516757785,16.1729574773053,5.29193089875355,47.3044798785118,0,0,12,0,0,125.02,93.0177111716621,108.18,117.31,127.06,82.34,97.1830985915493,"Crawford County, Indiana"
"18027",33442,12781,611,90.0871661721068,4.32065351114611,5.30297912585287,24.2192263396789,7.84059474412171,12.5309150865622,0.0119610071167992,0,12,41.8635249087973,0,103.02,49.3188010899183,107.39,100.21,105.62,99.46,52.112676056338,"Daviess County, Indiana"
"18029",50828,20965,511,93.0780648267009,5.77113723268659,0.179075968005094,11.2168511587163,7.92634504665476,19.828641370869,0.0049185488313528,0,12,68.8596836389392,5.90225859762336,113.48,74.1825613079019,107.86,68.42,114.7,80.85,84.5070422535211,"Dearborn County, Indiana"
"18031",26411,11619,467,91.8092194988894,6.53809674359785,0.488624217437777,22.1713238662391,8.26202700133105,14.3505903723887,0,0,12,26.5041081367612,0,108.79,63.9645776566758,108.18,106.49,111.76,93.67,74.6478873239437,"Decatur County, Indiana"
"18033",43584,18280,491,87.675148788603,6.77846957220325,0.924542398206948,13.1373557040707,10.7537629350894,16.0377358490566,0.0321218795888399,0.00229441997063142,11,20.6497797356828,0,105.36,55.7561307901907,104.57,108.88,104.49,98.02,59.1549295774648,"DeKalb County, Indiana"
"18035",112109,51611,7624,79.8406105100464,10.6751745516702,1.09842942151985,32.7498736735725,11.3227582022277,4.19030192131747,0.0918748717765746,0.00356795618549804,10,62.4392332462157,2.67596713912353,71.21,9.50272479564033,99.81,82.39,95.46,136.65,5.63380281690141,"Delaware County, Indiana"
"18037",43563,18715,861,89.4574599260173,9.44152506616547,4.75108080402906,19.4937951968574,8.31248578576302,17.3913043478261,0.052797098455111,0,12,34.4328902968115,0,101.08,45.0272479564033,104.72,103.25,96.23,96.24,46.4788732394366,"Dubois County, Indiana"
"18039",206868,80102,2991,89.7679141137883,9.10914335025539,8.89750956860874,22.5965189708805,11.2722965440357,8.57108607048669,0.0818154571997602,0.00507570044666164,10,31.4210027650482,1.93360017015681,90.68,27.6566757493188,99.49,97.68,80.26,105.44,21.1267605633803,"Elkhart County, Indiana"
"18041",23390,10900,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayette County, Indiana"
"18043",80512,34603,1483,90.9598157153826,9.86922677737416,0.891056246329819,21.240688415104,10.159432842524,11.2827988338192,0.0434717806041335,0.00496820349761526,11,73.2810015898251,0,95.98,36.1376021798365,102.07,87.37,100.16,98.22,37.3239436619718,"Floyd County, Indiana"
"18045",16546,7823,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fountain County, Indiana"
"18047",22929,9749,195,92.8001782134106,3.21366865041275,0.326945781491236,14.3650938240117,8.27948746030008,57.2815533980583,0.0174451567883466,0,16,30.5290243796066,0,128.93,95.8106267029973,107.03,104.84,118.32,67.27,100,"Franklin County, Indiana"
"18049",20411,9564,158,90.4046414757513,4.35767535730467,2.91183294663573,17.8662642210355,9.27210798536647,58.1551618814905,0,0,12,19.597275978639,0,114.02,75.4087193460491,108.18,109.31,107.82,87.8,85.9154929577465,"Fulton County, Indiana"
